Date,"1-Year Confidence,Corporate","1-Year Confidence,Individual","Crash Confidence,Corporate","Crash Confidence,Individual","Buy-On-Dips Confidence,Corporate","Buy-On-Dips Confidence,Individual","Valuation Confidence,Corporate","Valuation Confidence,Individual"
1989-06-30,100.0,,0.0,,0.0,,100.0,
1989-07-31,65.62,65.57,36.61,43.21,47.56,40.62,83.33,71.83
1989-08-31,58.62,55.56,38.24,37.5,43.48,44.44,70.97,76.67
1989-09-30,,,,,,,,
1989-10-31,,,,,,,,
1989-11-30,,,,,,,,
1989-12-31,,,,,,,,
1990-01-31,45.21,,25.84,,60.34,,60.0,
1990-02-28,54.84,,26.83,,42.86,,65.0,
1990-03-31,0.0,,0.0,,0.0,,0.0,
1990-04-30,,,,,,,,
1990-05-31,,,,,,,,
1990-06-30,,,,,,,,
1990-07-31,68.29,,13.73,,36.67,,57.14,
1990-08-31,49.25,,21.95,,30.0,,60.0,
1990-09-30,50.0,,0.0,,,,75.0,
1990-10-31,,,,,,,,
1990-11-30,,,,,,,,
1990-12-31,,,,,,,,
1991-01-31,100.0,,50.0,,0.0,,100.0,
1991-02-28,79.41,,31.03,,37.25,,67.44,
1991-03-31,65.71,,30.23,,39.29,,55.26,
1991-04-30,100.0,,100.0,,,,100.0,
1991-05-31,,,,,,,,
1991-06-30,,,,,,,,
1991-07-31,,,,,,,,
1991-08-31,76.47,,35.37,,62.79,,37.5,
1991-09-30,86.67,,39.44,,59.57,,67.12,
1991-10-31,100.0,,33.33,,0.0,,50.0,
1991-11-30,,,,,,,,
1991-12-31,,,,,,,,
1992-01-31,100.0,,100.0,,,,,
1992-02-29,75.57,,31.17,,50.83,,53.59,
1992-03-31,71.43,,0.0,,33.33,,25.0,
1992-04-30,100.0,,0.0,,,,100.0,
1992-05-31,,,,,,,,
1992-06-30,,,,,,,,
1992-07-31,,,,,,,,
1992-08-31,66.67,,28.95,,48.89,,52.11,
1992-09-30,73.68,,26.67,,55.17,,58.7,
1992-10-31,100.0,,0.0,,,,100.0,
1992-11-30,,,,,,,,
1992-12-31,,,,,,,,
1993-01-31,,,,,,,,
1993-02-28,57.97,,21.62,,41.3,,58.11,
1993-03-31,59.09,,28.0,,54.84,,59.18,
1993-04-30,0.0,,0.0,,0.0,,0.0,
1993-05-31,,,,,,,,
1993-06-30,,,,,,,,
1993-07-31,,,,,,,,
1993-08-31,56.06,,25.0,,41.07,,50.0,
1993-09-30,59.46,,31.11,,65.62,,64.44,
1993-10-31,100.0,,66.67,,100.0,,33.33,
1993-11-30,,,,,,,,
1993-12-31,,,,,,,,
1994-01-31,,,,,,,,
1994-02-28,0.0,,100.0,,0.0,,0.0,
1994-03-31,66.67,,35.71,,54.84,,60.0,
1994-04-30,65.38,,24.24,,23.81,,56.25,
1994-05-31,,,,,,,,
1994-06-30,,,,,,,,
1994-07-31,,,,,,,,
1994-08-31,,,,,,,,
1994-09-30,63.04,,28.85,,37.14,,66.67,
1994-10-31,75.0,,32.26,,30.0,,67.74,
1994-11-30,100.0,,50.0,,0.0,,0.0,
1994-12-31,,,,,,,,
1995-01-31,,,,,,,,
1995-02-28,,,,,,,,
1995-03-31,72.55,,27.12,,55.26,,67.24,
1995-04-30,54.55,,46.43,,60.0,,59.26,
1995-05-31,,,,,,,,
1995-06-30,,,,,,,,
1995-07-31,,,,,,,,
1995-08-31,0.0,,0.0,,,,0.0,
1995-09-30,74.51,,43.86,,50.0,,73.21,
1995-10-31,75.0,,38.24,,66.67,,69.7,
1995-11-30,50.0,,50.0,,100.0,,50.0,
1995-12-31,,,,,,,,
1996-01-31,,,,,,,,
1996-02-29,,,,,,,,
1996-03-31,64.86,,24.53,,54.29,,57.69,
1996-04-30,66.67,,17.86,,44.44,,65.52,
1996-05-31,,,,,,,,
1996-06-30,,,,,,,,
1996-07-31,,,,,,,,
1996-08-31,78.12,,47.92,,56.67,,62.26,
1996-09-30,63.16,62.07,20.83,31.51,66.67,53.12,55.56,55.41
1996-10-31,40.0,88.89,71.43,20.83,60.0,54.55,42.86,57.14
1996-11-30,,62.96,,45.45,,51.72,,40.62
1996-12-31,,,,,,,,
1997-01-31,,,,,,,,
1997-02-28,,,,,,,,
1997-03-31,39.53,,30.91,,55.56,,41.82,
1997-04-30,62.79,,29.82,,50.0,,58.18,
1997-05-31,,,,,,,,
1997-06-30,0.0,,100.0,,0.0,,0.0,
1997-07-31,,,,,,,,
1997-08-31,,,,,,,,
1997-09-30,85.11,,41.67,,55.81,,36.67,
1997-10-31,77.78,,15.38,,50.0,,30.77,
1997-11-30,,,,,,,,
1997-12-31,,,,,,,,
1998-01-31,,,,,,,,
1998-02-28,,,,,,,,
1998-03-31,59.09,,22.5,,67.31,,44.74,
1998-04-30,68.57,,27.5,,65.52,,47.5,
1998-05-31,66.67,,37.5,,66.67,,50.0,
1998-06-30,,,,,,,,
1998-07-31,,,,,,,,
1998-08-31,,,,,,,,
1998-09-30,77.55,,20.97,,67.57,,45.9,
1998-10-31,76.47,,23.68,,55.56,,60.0,
1998-11-30,100.0,,33.33,,100.0,,33.33,
1998-12-31,0.0,,0.0,,0.0,,,
1999-01-31,0.0,100.0,0.0,50.0,0.0,100.0,0.0,50.0
1999-02-28,57.89,78.57,31.58,35.29,64.29,55.56,27.78,43.75
1999-03-31,50.0,86.67,31.25,42.11,40.0,45.0,53.33,30.0
1999-04-30,77.78,73.33,16.67,33.33,44.44,76.92,25.0,29.41
1999-05-31,55.0,69.23,20.83,35.38,75.0,71.88,27.08,26.87
1999-06-30,41.67,80.0,36.36,22.22,37.5,70.59,42.86,29.41
1999-07-31,70.59,80.95,26.09,45.16,50.0,73.91,28.57,33.33
1999-08-31,64.29,57.89,27.78,36.0,27.27,47.62,38.89,19.23
1999-09-30,60.0,100.0,42.86,14.29,66.67,80.0,14.29,42.86
1999-10-31,50.0,100.0,0.0,15.38,20.0,54.55,40.0,41.67
1999-11-30,70.0,83.33,15.38,28.57,45.45,22.22,15.38,50.0
1999-12-31,100.0,50.0,50.0,16.67,100.0,0.0,50.0,60.0
2000-01-31,66.67,80.0,33.33,38.1,0.0,72.22,0.0,6.25
2000-02-29,37.5,66.67,16.67,10.53,62.5,72.22,25.0,33.33
2000-03-31,0.0,84.62,25.0,37.5,66.67,50.0,0.0,35.29
2000-04-30,,,100.0,0.0,100.0,0.0,50.0,0.0
2000-05-31,44.44,70.0,20.0,41.38,60.0,57.69,10.0,37.93
2000-06-30,76.19,81.48,25.93,24.24,68.75,56.0,54.17,22.58
2000-07-31,63.64,78.26,46.15,35.71,42.86,59.26,50.0,55.56
2000-08-31,81.25,72.22,22.22,42.31,50.0,52.38,56.25,56.0
2000-09-30,,,,,,,,
2000-10-31,,,,,,,,
2000-11-30,,,,,,,,
2000-12-31,,,,,,,,
2001-01-31,100.0,,0.0,,,,0.0,
2001-02-28,,,,,,,,
2001-03-31,,,,,,,,
2001-04-30,85.71,84.0,40.0,30.0,68.75,76.19,68.0,60.0
2001-05-31,94.44,90.0,34.78,33.33,54.55,60.71,54.55,63.89
2001-06-30,66.67,100.0,0.0,37.5,100.0,50.0,44.44,50.0
2001-07-31,62.5,100.0,18.75,0.0,75.0,0.0,56.25,0.0
2001-08-31,100.0,100.0,0.0,42.86,50.0,100.0,66.67,71.43
2001-09-30,66.67,75.0,33.33,15.38,100.0,58.33,50.0,53.85
2001-10-31,94.74,100.0,20.0,52.38,61.54,72.22,76.19,75.0
2001-11-30,68.75,86.05,36.84,30.19,56.0,75.56,42.11,62.22
2001-12-31,80.95,89.66,20.0,47.22,71.43,83.33,33.33,60.61
2002-01-31,76.47,87.88,14.29,47.73,54.55,75.76,36.36,58.54
2002-02-28,88.89,92.5,52.63,33.33,75.0,76.92,64.71,43.59
2002-03-31,92.31,92.5,46.15,41.67,70.0,75.0,69.23,58.54
2002-04-30,85.71,80.0,35.29,38.71,75.0,66.67,38.89,61.54
2002-05-31,79.17,87.5,37.5,32.0,57.89,50.0,59.38,66.67
2002-06-30,88.89,66.67,33.33,42.86,28.57,20.0,88.89,57.14
2002-07-31,50.0,81.82,28.57,25.0,33.33,55.0,25.0,68.18
2002-08-31,71.43,81.82,5.26,23.08,55.56,57.69,63.16,76.0
2002-09-30,93.75,93.1,13.64,28.57,69.23,72.41,63.64,82.76
2002-10-31,78.57,85.71,23.53,30.0,55.56,61.76,58.82,72.22
2002-11-30,79.17,94.44,30.0,27.78,66.67,70.59,75.0,93.33
2002-12-31,85.71,95.24,43.75,56.52,60.0,63.16,68.75,84.21
2003-01-31,90.91,92.86,35.71,43.48,76.92,79.49,61.54,75.61
2003-02-28,100.0,84.21,53.85,29.63,40.0,50.0,85.71,54.55
2003-03-31,84.09,87.5,54.9,30.19,73.33,46.34,74.0,76.0
2003-04-30,90.91,100.0,41.67,18.18,57.14,66.67,66.67,88.89
2003-05-31,91.3,91.67,46.43,56.0,88.89,79.17,89.29,64.44
2003-06-30,70.0,78.57,54.55,47.06,22.22,66.67,44.44,58.33
2003-07-31,91.67,93.75,45.83,52.38,63.16,77.78,79.17,52.63
2003-08-31,95.45,96.0,59.26,53.57,50.0,70.83,77.78,73.91
2003-09-30,85.71,96.97,44.0,40.54,57.89,67.86,76.0,68.57
2003-10-31,100.0,95.45,36.36,42.86,57.14,70.83,90.48,68.0
2003-11-30,100.0,91.3,46.15,34.38,63.64,57.69,92.31,76.67
2003-12-31,66.67,100.0,8.33,18.18,40.0,87.5,50.0,77.78
2004-01-31,80.0,96.55,41.67,37.14,76.47,70.0,68.0,75.76
2004-02-29,85.71,84.62,25.0,51.61,70.0,50.0,68.75,37.93
2004-03-31,80.77,80.0,44.12,36.17,60.87,72.5,71.88,63.64
2004-04-30,68.42,82.61,52.17,60.0,43.75,65.22,69.57,60.87
2004-05-31,76.0,82.14,50.0,45.16,57.89,68.97,65.52,58.62
2004-06-30,78.57,85.19,43.75,26.67,38.46,72.0,81.25,60.0
2004-07-31,59.26,95.24,35.71,46.43,58.82,57.69,50.0,70.83
2004-08-31,78.95,92.86,31.82,46.67,92.31,72.73,77.27,80.0
2004-09-30,91.3,83.33,37.5,42.86,64.71,68.75,91.3,60.0
2004-10-31,71.43,86.36,66.67,34.62,40.0,72.73,68.42,60.0
2004-11-30,74.07,82.35,58.97,35.9,57.14,55.88,71.79,51.35
2004-12-31,88.89,92.59,45.45,41.94,43.75,66.67,85.71,66.67
2005-01-31,87.5,90.91,60.0,46.15,28.57,65.0,70.0,58.33
2005-02-28,73.33,90.0,31.25,42.86,63.64,70.59,70.59,73.68
2005-03-31,76.0,84.38,40.0,38.89,60.0,75.76,76.0,69.7
2005-04-30,76.67,76.92,25.81,40.0,65.38,64.29,74.19,57.14
2005-05-31,84.21,76.0,52.17,54.84,77.78,56.67,73.91,70.0
2005-06-30,67.86,84.0,53.12,46.67,56.0,60.0,67.74,75.0
2005-07-31,72.22,86.96,66.67,41.38,62.5,66.67,80.95,53.33
2005-08-31,72.0,75.0,34.48,54.55,72.73,60.0,75.86,80.0
2005-09-30,66.67,78.57,46.67,13.33,50.0,85.71,64.29,58.82
2005-10-31,70.59,81.82,33.33,44.83,76.47,50.0,71.43,52.0
2005-11-30,90.91,88.24,60.0,60.87,70.0,77.27,92.0,85.71
2005-12-31,82.35,80.77,56.52,53.33,64.71,59.26,82.61,66.67
2006-01-31,90.0,95.0,50.0,42.31,55.56,82.61,83.33,65.22
2006-02-28,100.0,78.95,69.23,37.04,90.91,70.0,92.86,65.22
2006-03-31,100.0,84.0,58.82,45.45,61.54,60.71,94.12,77.78
2006-04-30,100.0,71.43,0.0,62.5,100.0,57.14,100.0,62.5
2006-05-31,100.0,100.0,100.0,50.0,100.0,50.0,100.0,100.0
2006-06-30,76.92,100.0,40.0,45.45,75.0,60.0,83.87,71.43
2006-07-31,83.33,72.22,47.06,34.04,59.26,48.84,79.41,61.36
2006-08-31,73.08,78.95,32.26,46.15,66.67,55.0,67.74,78.95
2006-09-30,52.94,88.46,50.0,34.48,46.67,45.83,60.0,76.92
2006-10-31,54.55,88.89,66.67,47.37,11.11,47.37,91.67,80.0
2006-11-30,85.0,86.96,57.69,60.0,50.0,54.17,80.0,86.96
2006-12-31,73.91,87.88,62.5,27.03,64.71,64.29,72.0,74.29
2007-01-31,86.67,80.0,50.0,31.58,63.64,68.75,87.5,76.47
2007-02-28,75.0,86.36,62.5,25.0,57.14,63.64,87.5,65.0
2007-03-31,86.67,86.67,37.5,22.73,33.33,58.82,78.57,55.56
2007-04-30,79.07,66.67,40.0,33.33,56.52,52.38,76.0,61.9
2007-05-31,75.0,81.82,35.71,34.48,40.74,61.9,59.26,73.08
2007-06-30,75.0,86.49,40.28,27.91,64.41,65.71,69.01,68.42
2007-07-31,79.03,78.87,36.49,32.95,62.12,62.82,76.39,65.48
2007-08-31,83.33,76.92,30.56,26.09,68.97,68.18,77.46,61.9
2007-09-30,76.32,75.0,30.43,23.81,58.82,58.82,71.74,77.78
2007-10-31,71.62,78.0,44.58,30.08,60.56,57.28,76.83,57.26
2007-11-30,80.95,74.47,32.26,26.92,69.57,65.96,54.84,55.32
2007-12-31,83.78,73.21,28.57,43.24,61.11,57.81,80.0,64.29
2008-01-31,80.25,62.63,34.95,24.39,69.62,63.37,78.43,57.0
2008-02-29,80.0,75.0,46.67,33.33,69.23,50.0,70.45,74.58
2008-03-31,75.61,75.0,32.65,29.23,72.5,61.54,82.22,74.58
2008-04-30,81.58,70.0,37.78,12.0,72.73,70.83,77.27,57.89
2008-05-31,82.93,82.61,48.15,31.03,47.5,72.0,77.78,63.27
2008-06-30,77.05,75.0,34.72,27.63,62.69,63.64,73.53,74.29
2008-07-31,75.51,72.0,30.91,18.33,69.05,57.14,77.36,70.18
2008-08-31,87.27,68.0,25.42,38.71,74.0,74.07,84.75,58.33
2008-09-30,75.0,,41.18,50.0,75.0,100.0,66.67,50.0
2008-10-31,83.33,79.69,15.29,21.62,71.43,70.18,81.25,71.83
2008-11-30,80.3,68.0,13.24,9.43,65.31,68.18,83.33,70.83
2008-12-31,80.77,77.14,23.53,15.38,82.14,68.57,80.0,82.35
2009-01-31,77.14,80.85,18.18,18.37,68.57,73.33,83.33,78.43
2009-02-28,88.24,57.14,24.32,18.18,60.0,55.56,81.08,84.21
2009-03-31,75.0,66.67,44.44,13.89,80.0,53.12,100.0,87.5
2009-04-30,,,,,,,,
2009-05-31,64.29,83.33,20.0,35.0,81.25,53.33,68.42,77.78
2009-06-30,78.67,73.42,31.03,25.58,68.92,60.76,77.38,69.33
2009-07-31,77.14,80.95,23.08,37.5,68.75,78.95,84.62,82.61
2009-08-31,65.38,86.11,40.0,36.36,79.17,61.11,50.0,66.67
2009-09-30,78.72,82.5,30.0,40.43,64.29,64.86,77.97,76.32
2009-10-31,78.26,80.39,29.41,25.0,66.67,61.36,67.74,68.63
2009-11-30,78.57,69.7,35.48,20.51,84.62,48.57,66.67,45.71
